"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\App.xaml", "XML", 0, 55, 0, 0, 3, 10, 68
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\App.xaml.cs", "C#", 37, 0, 0, 0, 15, 6, 58
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Helpers\FileHandler.cs", "C#", 50, 0, 0, 0, 0, 8, 58
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Helpers\MainSocket.cs", "C#", 93, 0, 0, 0, 4, 9, 106
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Helpers\SettingsHelper.cs", "C#", 40, 0, 0, 0, 0, 14, 54
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Helpers\SocketHelper.cs", "C#", 240, 0, 0, 0, 37, 66, 343
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Helpers\WindowBackdropHelper.cs", "C#", 133, 0, 0, 0, 17, 30, 180
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\MainWindow.xaml", "XML", 0, 25, 0, 0, 0, 6, 31
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\MainWindow.xaml.cs", "C#", 24, 0, 0, 0, 5, 4, 33
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Models\FileModel.cs", "C#", 24, 0, 0, 0, 0, 5, 29
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Models\ImageFullScreenViewModel.cs", "C#", 21, 0, 0, 0, 0, 7, 28
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Models\Transfers.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Properties\PublishProfiles\win10-arm64.pubxml", "XML", 0, 13, 0, 0, 7, 0, 20
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Properties\PublishProfiles\win10-x64.pubxml", "XML", 0, 13, 0, 0, 7, 0, 20
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Properties\PublishProfiles\win10-x86.pubxml", "XML", 0, 13, 0, 0, 7, 0, 20
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Properties\Settings1.Designer.cs", "C#", 23, 0, 0, 0, 9, 7, 39
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Properties\launchSettings.json", "JSON", 0, 0, 10, 0, 0, 0, 10
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\ShareX_windows.csproj", "XML", 0, 105, 0, 0, 10, 5, 120
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Themes\Generic.xaml", "XML", 0, 87, 0, 0, 0, 9, 96
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\ViewModels\FileTrasferViewModel.cs", "C#", 123, 0, 0, 0, 0, 26, 149
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\ViewModels\PhotosViewModel.cs", "C#", 124, 0, 0, 0, 6, 22, 152
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\ViewModels\ViewModelBase.cs", "C#", 17, 0, 0, 0, 0, 4, 21
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\CallsView.xaml", "XML", 0, 12, 0, 0, 0, 3, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\CallsView.xaml.cs", "C#", 24, 0, 0, 0, 2, 3, 29
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\FileTransferView.xaml", "XML", 0, 109, 0, 0, 0, 8, 117
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\FileTransferView.xaml.cs", "C#", 15, 0, 0, 0, 2, 6, 23
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\ImageFullscreenView.xaml", "XML", 0, 41, 0, 0, 0, 7, 48
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\ImageFullscreenView.xaml.cs", "C#", 102, 0, 0, 0, 28, 13, 143
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\MessagesView.xaml", "XML", 0, 12, 0, 0, 0, 2, 14
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\MessagesView.xaml.cs", "C#", 24, 0, 0, 0, 2, 3, 29
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\NotificationsView.xaml", "XML", 0, 12, 0, 0, 0, 2, 14
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\NotificationsView.xaml.cs", "C#", 24, 0, 0, 0, 2, 3, 29
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\PhotosView.xaml", "XML", 0, 19, 0, 0, 0, 3, 22
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Views\PhotosView.xaml.cs", "C#", 31, 0, 0, 0, 2, 4, 37
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Window1.xaml", "XML", 0, 68, 0, 0, 0, 12, 80
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Window1.xaml.cs", "C#", 67, 0, 0, 0, 11, 13, 91
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Window2.xaml", "XML", 0, 11, 0, 0, 0, 3, 14
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\Window2.xaml.cs", "C#", 24, 0, 0, 0, 5, 3, 32
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\bin\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\AppX\AppxManifest.xml", "XML", 0, 31, 0, 0, 7, 0, 38
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\bin\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\AppX\ShareX_windows.deps.json", "JSON", 0, 0, 1314, 0, 0, 0, 1314
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\bin\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\AppX\ShareX_windows.runtimeconfig.json", "JSON", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\bin\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\AppxManifest.xml", "XML", 0, 31, 0, 0, 7, 0, 38
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\bin\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.deps.json", "JSON", 0, 0, 1314, 0, 0, 0, 1314
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\bin\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.runtimeconfig.json", "JSON", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\customWigets\CustomImage.cs", "C#", 34, 0, 0, 0, 4, 9, 47
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\customWigets\FileItem.cs", "C#", 66, 0, 0, 0, 6, 16, 88
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\Debug\net6.0-windows10.0.19041.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\Debug\net6.0-windows10.0.19041.0\ShareX_windows.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\Debug\net6.0-windows10.0.19041.0\ShareX_windows.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 10, 0, 1, 11
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\ShareX_windows.csproj.nuget.dgspec.json", "JSON", 0, 0, 144, 0, 0, 0, 144
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\ShareX_windows.csproj.nuget.g.props", "XML", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\ShareX_windows.csproj.nuget.g.targets", "XML", 0, 7, 0, 0, 0, 0, 7
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\project.assets.json", "JSON", 0, 0, 1660, 0, 0, 0, 1660
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\App.g.cs", "C#", 7, 0, 0, 0, 8, 3, 18
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\App.g.i.cs", "C#", 51, 0, 0, 0, 14, 10, 75
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\App.xaml", "XML", 0, 55, 0, 0, 3, 11, 69
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MainWindow.xaml", "XML", 0, 25, 0, 0, 0, 7, 32
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxBlockMap.xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxManifest.xml", "XML", 0, 919, 0, 0, 8, 0, 927
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\main_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\singleton_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\[Content_Types].xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 10, 0, 1, 11
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.g.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.g.i.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.xaml", "XML", 0, 87, 0, 0, 0, 10, 97
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.xaml", "XML", 0, 12, 0, 0, 0, 4, 16
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.cs", "C#", 283, 0, 0, 0, 25, 25, 333
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.i.cs", "C#", 54, 0, 0, 0, 11, 12, 77
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.xaml", "XML", 0, 105, 0, 0, 0, 13, 118
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\ImageFullscreenView.g.cs", "C#", 39, 0, 0, 0, 14, 5, 58
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\ImageFullscreenView.g.i.cs", "C#", 26, 0, 0, 0, 11, 11, 48
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\ImageFullscreenView.xaml", "XML", 0, 41, 0, 0, 0, 8, 49
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.xaml", "XML", 0, 12, 0, 0, 0, 3, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.xaml", "XML", 0, 12, 0, 0, 0, 3, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.cs", "C#", 180, 0, 0, 0, 21, 25, 226
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.i.cs", "C#", 48, 0, 0, 0, 11, 12, 71
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.xaml", "XML", 0, 18, 0, 0, 0, 5, 23
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window1.g.cs", "C#", 43, 0, 0, 0, 14, 5, 62
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window1.g.i.cs", "C#", 30, 0, 0, 0, 11, 11, 52
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window1.xaml", "XML", 0, 68, 0, 0, 0, 13, 81
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window2.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window2.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window2.xaml", "XML", 0, 11, 0, 0, 0, 4, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\XamlSaveStateFile.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\XamlTypeInfo.g.cs", "C#", 2186, 0, 0, 0, 31, 139, 2356
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\priconfig.xml", "XML", 0, 67, 0, 0, 0, 0, 67
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\App.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\App.g.i.cs", "C#", 51, 0, 0, 0, 14, 10, 75
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxBlockMap.xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxManifest.xml", "XML", 0, 919, 0, 0, 8, 0, 927
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\main_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\singleton_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\[Content_Types].xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 10, 0, 1, 11
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.g.i.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.i.cs", "C#", 34, 0, 0, 0, 11, 11, 56
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window1.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window1.g.i.cs", "C#", 32, 0, 0, 0, 11, 11, 54
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window2.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window2.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\XamlSaveStateFile.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\XamlTypeInfo.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
